time,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe
2017-11-29 21:00:00,1.18512,1.18602,1.18497,1.18568,5901,0,0,EURUSD,H1
2017-11-29 22:00:00,1.18569,1.1865,1.1855,1.18625,6345,0,0,EURUSD,H1
2017-11-29 23:00:00,1.18624,1.1864,1.18515,1.18517,4491,0,0,EURUSD,H1
2017-11-30 00:00:00,1.18512,1.18561,1.18462,1.18469,2517,0,0,EURUSD,H1
2017-11-30 01:00:00,1.18459,1.1852800000000001,1.18457,1.18491,3245,0,0,EURUSD,H1
2017-11-30 02:00:00,1.18493,1.1854,1.18486,1.18521,1800,0,0,EURUSD,H1
2017-11-30 03:00:00,1.18521,1.1856,1.18476,1.18544,4906,0,0,EURUSD,H1
2017-11-30 04:00:00,1.18544,1.1868400000000001,1.18535,1.18609,6242,0,0,EURUSD,H1
2017-11-30 05:00:00,1.1861,1.1871,1.18587,1.18662,4005,0,0,EURUSD,H1
2017-11-30 06:00:00,1.18662,1.18686,1.18625,1.18656,2255,0,0,EURUSD,H1
2017-11-30 07:00:00,1.18656,1.18661,1.18619,1.1862,1845,0,0,EURUSD,H1
2017-11-30 08:00:00,1.1862,1.18671,1.18611,1.18645,2469,0,0,EURUSD,H1
2017-11-30 09:00:00,1.18645,1.18725,1.18585,1.18668,3393,0,0,EURUSD,H1
2017-11-30 10:00:00,1.18667,1.18759,1.18624,1.18644,6882,0,0,EURUSD,H1
2017-11-30 11:00:00,1.18644,1.1867,1.18411,1.1846,8593,0,0,EURUSD,H1
2017-11-30 12:00:00,1.1846,1.18466,1.18252,1.18323,7869,0,0,EURUSD,H1
2017-11-30 13:00:00,1.1832,1.18332,1.18089,1.18312,8917,0,0,EURUSD,H1
2017-11-30 14:00:00,1.18311,1.18428,1.18285,1.18363,5700,0,0,EURUSD,H1
2017-11-30 15:00:00,1.18363,1.18498,1.18354,1.1844999999999999,6844,0,0,EURUSD,H1
2017-11-30 16:00:00,1.1844999999999999,1.18637,1.18408,1.18589,7973,0,0,EURUSD,H1
2017-11-30 17:00:00,1.1859,1.19068,1.18589,1.19041,11778,0,0,EURUSD,H1
2017-11-30 18:00:00,1.1904,1.1931,1.19036,1.19226,17629,0,0,EURUSD,H1
2017-11-30 19:00:00,1.19227,1.19316,1.19002,1.19005,13697,0,0,EURUSD,H1
2017-11-30 20:00:00,1.19005,1.19012,1.18854,1.18915,8881,0,0,EURUSD,H1
2017-11-30 21:00:00,1.18914,1.1914500000000001,1.18892,1.19124,7505,0,0,EURUSD,H1
2017-11-30 22:00:00,1.19123,1.19128,1.18909,1.18977,5518,0,0,EURUSD,H1
2017-11-30 23:00:00,1.18978,1.19055,1.18957,1.19006,5474,0,0,EURUSD,H1
2017-12-01 00:00:00,1.1902300000000001,1.19148,1.19012,1.19036,2911,0,0,EURUSD,H1
2017-12-01 01:00:00,1.19027,1.19056,1.18869,1.18894,2985,0,0,EURUSD,H1
2017-12-01 02:00:00,1.18895,1.1903,1.18895,1.18981,2613,0,0,EURUSD,H1
2017-12-01 03:00:00,1.18983,1.19159,1.18964,1.19086,6570,0,0,EURUSD,H1
2017-12-01 04:00:00,1.19089,1.19113,1.19021,1.19093,4687,0,0,EURUSD,H1
2017-12-01 05:00:00,1.19093,1.19137,1.19062,1.19069,4882,0,0,EURUSD,H1
2017-12-01 06:00:00,1.19069,1.19132,1.19004,1.19116,3690,0,0,EURUSD,H1
2017-12-01 07:00:00,1.19116,1.19154,1.19085,1.1911100000000001,3476,0,0,EURUSD,H1
2017-12-01 08:00:00,1.1911,1.19296,1.19099,1.19274,3871,0,0,EURUSD,H1
2017-12-01 09:00:00,1.19273,1.19329,1.19184,1.192,5363,0,0,EURUSD,H1
2017-12-01 10:00:00,1.19198,1.19222,1.19068,1.19158,7348,0,0,EURUSD,H1
2017-12-01 11:00:00,1.19157,1.19403,1.19116,1.19291,13076,0,0,EURUSD,H1
2017-12-01 12:00:00,1.19292,1.19295,1.19006,1.19025,10112,0,0,EURUSD,H1
2017-12-01 13:00:00,1.19026,1.19113,1.18836,1.1889,9785,0,0,EURUSD,H1
2017-12-01 14:00:00,1.1889,1.19044,1.1886,1.19006,7303,0,0,EURUSD,H1
2017-12-01 15:00:00,1.19005,1.19029,1.18876,1.18918,8981,0,0,EURUSD,H1
2017-12-01 16:00:00,1.18918,1.18932,1.18634,1.18691,12652,0,0,EURUSD,H1
2017-12-01 17:00:00,1.18692,1.1874500000000001,1.18607,1.18611,10646,0,0,EURUSD,H1
2017-12-01 18:00:00,1.18611,1.1876,1.18509,1.1865,16742,0,0,EURUSD,H1
2017-12-01 19:00:00,1.18653,1.19348,1.18645,1.19077,38776,0,0,EURUSD,H1
2017-12-01 20:00:00,1.19076,1.1917200000000001,1.1896200000000001,1.19063,21222,0,0,EURUSD,H1
2017-12-01 21:00:00,1.19064,1.19105,1.18861,1.18946,11353,0,0,EURUSD,H1
2017-12-01 22:00:00,1.18946,1.19004,1.18852,1.18941,7354,0,0,EURUSD,H1
2017-12-01 23:00:00,1.18941,1.18965,1.189,1.18927,3773,0,0,EURUSD,H1
2017-12-04 00:00:00,1.18548,1.18642,1.18547,1.18597,162,8,0,EURUSD,H1
2017-12-04 01:00:00,1.1859899999999999,1.18724,1.18597,1.18689,1947,0,0,EURUSD,H1
2017-12-04 02:00:00,1.18689,1.18752,1.1856200000000001,1.18566,3446,0,0,EURUSD,H1
2017-12-04 03:00:00,1.1857,1.18727,1.18559,1.18707,5919,0,0,EURUSD,H1
2017-12-04 04:00:00,1.18706,1.1876,1.18666,1.1875,3491,0,0,EURUSD,H1
2017-12-04 05:00:00,1.1875,1.1875,1.18681,1.18727,2258,0,0,EURUSD,H1
2017-12-04 06:00:00,1.18729,1.18758,1.18698,1.18707,1768,0,0,EURUSD,H1
2017-12-04 07:00:00,1.18708,1.18717,1.18673,1.18708,1870,0,0,EURUSD,H1
2017-12-04 08:00:00,1.18707,1.1871800000000001,1.18675,1.18677,2587,0,0,EURUSD,H1
2017-12-04 09:00:00,1.18676,1.18693,1.18622,1.18651,3402,0,0,EURUSD,H1
2017-12-04 10:00:00,1.18652,1.18658,1.18362,1.18497,9782,0,0,EURUSD,H1
2017-12-04 11:00:00,1.18498,1.18786,1.18495,1.18723,10128,0,0,EURUSD,H1
2017-12-04 12:00:00,1.18723,1.18736,1.18508,1.18542,7283,0,0,EURUSD,H1
2017-12-04 13:00:00,1.18542,1.18603,1.18436,1.18493,5844,0,0,EURUSD,H1
2017-12-04 14:00:00,1.18494,1.18616,1.18469,1.18582,6276,0,0,EURUSD,H1
2017-12-04 15:00:00,1.18584,1.18585,1.18454,1.18563,8161,0,0,EURUSD,H1
2017-12-04 16:00:00,1.18565,1.18675,1.18429,1.18457,10337,0,0,EURUSD,H1
2017-12-04 17:00:00,1.18456,1.18468,1.18336,1.18426,10048,0,0,EURUSD,H1
2017-12-04 18:00:00,1.18426,1.1853,1.18291,1.18497,15828,0,0,EURUSD,H1
2017-12-04 19:00:00,1.18498,1.186,1.18456,1.18481,9191,0,0,EURUSD,H1
2017-12-04 20:00:00,1.1848,1.18519,1.18417,1.18438,4918,0,0,EURUSD,H1
2017-12-04 21:00:00,1.18437,1.18516,1.18433,1.18498,2889,0,0,EURUSD,H1
2017-12-04 22:00:00,1.18498,1.18597,1.18488,1.18559,4962,0,0,EURUSD,H1
2017-12-04 23:00:00,1.18559,1.18585,1.1847699999999999,1.18577,4448,0,0,EURUSD,H1
2017-12-05 00:00:00,1.18564,1.1868400000000001,1.18563,1.18643,2694,0,0,EURUSD,H1
2017-12-05 01:00:00,1.18642,1.1868400000000001,1.1861,1.18679,2245,0,0,EURUSD,H1
2017-12-05 02:00:00,1.18679,1.18705,1.18649,1.18677,1590,0,0,EURUSD,H1
2017-12-05 03:00:00,1.18679,1.18726,1.18636,1.18706,4066,0,0,EURUSD,H1
2017-12-05 04:00:00,1.18706,1.18748,1.18688,1.18728,3040,0,0,EURUSD,H1
2017-12-05 05:00:00,1.18729,1.18766,1.18702,1.18737,1907,0,0,EURUSD,H1
2017-12-05 06:00:00,1.18736,1.18756,1.18714,1.1875,2442,0,0,EURUSD,H1
2017-12-05 07:00:00,1.18751,1.18757,1.18693,1.18696,2149,0,0,EURUSD,H1
2017-12-05 08:00:00,1.18696,1.18725,1.18669,1.18673,1805,0,0,EURUSD,H1
2017-12-05 09:00:00,1.18675,1.18699,1.1863,1.18668,2875,0,0,EURUSD,H1
2017-12-05 10:00:00,1.18668,1.18766,1.18569,1.1858,6281,0,0,EURUSD,H1
2017-12-05 11:00:00,1.1858,1.1862,1.1844999999999999,1.18481,8668,0,0,EURUSD,H1
2017-12-05 12:00:00,1.18481,1.18595,1.18418,1.1853,6655,0,0,EURUSD,H1
2017-12-05 13:00:00,1.18529,1.18669,1.18492,1.18629,5433,0,0,EURUSD,H1
2017-12-05 14:00:00,1.1863,1.18739,1.18611,1.18658,5468,0,0,EURUSD,H1
2017-12-05 15:00:00,1.1865700000000001,1.18673,1.18462,1.18473,5343,0,0,EURUSD,H1
2017-12-05 16:00:00,1.18475,1.1848,1.18277,1.18349,8594,0,0,EURUSD,H1
2017-12-05 17:00:00,1.18348,1.18369,1.1813,1.18279,13368,0,0,EURUSD,H1
2017-12-05 18:00:00,1.18292,1.18429,1.1822,1.18326,16662,0,0,EURUSD,H1
2017-12-05 19:00:00,1.1832799999999999,1.18331,1.1807699999999999,1.18205,10924,0,0,EURUSD,H1
2017-12-05 20:00:00,1.1820599999999999,1.18246,1.1804999999999999,1.18057,7574,0,0,EURUSD,H1
2017-12-05 21:00:00,1.18057,1.18078,1.18007,1.18071,5677,0,0,EURUSD,H1
2017-12-05 22:00:00,1.18071,1.18181,1.18068,1.1814,4918,0,0,EURUSD,H1
2017-12-05 23:00:00,1.18139,1.18296,1.18136,1.18255,4383,0,0,EURUSD,H1
2017-12-06 00:00:00,1.18242,1.1828400000000001,1.18236,1.1825,1679,0,0,EURUSD,H1
2017-12-06 01:00:00,1.18249,1.183,1.18236,1.18285,1921,0,0,EURUSD,H1
2017-12-06 02:00:00,1.18285,1.18314,1.18255,1.18305,2273,0,0,EURUSD,H1
2017-12-06 03:00:00,1.18306,1.18309,1.18163,1.18208,3952,0,0,EURUSD,H1
2017-12-06 04:00:00,1.18208,1.18297,1.18191,1.18264,3202,0,0,EURUSD,H1
2017-12-06 05:00:00,1.18264,1.18305,1.1826,1.18275,3447,0,0,EURUSD,H1
2017-12-06 06:00:00,1.18274,1.18482,1.18273,1.18427,3982,0,0,EURUSD,H1
2017-12-06 07:00:00,1.18427,1.18443,1.18381,1.18388,3505,0,0,EURUSD,H1
2017-12-06 08:00:00,1.18388,1.18452,1.18358,1.1844000000000001,2213,0,0,EURUSD,H1
2017-12-06 09:00:00,1.1844000000000001,1.18442,1.18319,1.18334,2872,0,0,EURUSD,H1
2017-12-06 10:00:00,1.18334,1.18395,1.18193,1.18236,8512,0,0,EURUSD,H1
2017-12-06 11:00:00,1.18235,1.18315,1.18134,1.18224,7787,0,0,EURUSD,H1
2017-12-06 12:00:00,1.18224,1.18262,1.18123,1.18234,6688,0,0,EURUSD,H1
2017-12-06 13:00:00,1.18234,1.18336,1.18225,1.18285,5977,0,0,EURUSD,H1
2017-12-06 14:00:00,1.1828400000000001,1.1828400000000001,1.18086,1.18125,7520,0,0,EURUSD,H1
2017-12-06 15:00:00,1.18124,1.18155,1.1804999999999999,1.18132,5636,0,0,EURUSD,H1
2017-12-06 16:00:00,1.18134,1.18236,1.18002,1.1807699999999999,8867,0,0,EURUSD,H1
2017-12-06 17:00:00,1.18078,1.18082,1.17874,1.17902,12254,0,0,EURUSD,H1
2017-12-06 18:00:00,1.17901,1.17992,1.17856,1.17882,9689,0,0,EURUSD,H1
2017-12-06 19:00:00,1.17883,1.1795499999999999,1.1780599999999999,1.17886,7330,0,0,EURUSD,H1
2017-12-06 20:00:00,1.17886,1.17948,1.17837,1.1793,4493,0,0,EURUSD,H1
2017-12-06 21:00:00,1.1793,1.17975,1.17888,1.17922,4158,0,0,EURUSD,H1
2017-12-06 22:00:00,1.17923,1.1799,1.17897,1.17912,4368,0,0,EURUSD,H1
2017-12-06 23:00:00,1.17913,1.18006,1.17903,1.17977,3591,0,0,EURUSD,H1
2017-12-07 00:00:00,1.17957,1.17966,1.1791800000000001,1.1795499999999999,1864,0,0,EURUSD,H1
2017-12-07 01:00:00,1.17948,1.18054,1.17933,1.18029,2548,0,0,EURUSD,H1
2017-12-07 02:00:00,1.18032,1.18088,1.18015,1.1804000000000001,1671,0,0,EURUSD,H1
2017-12-07 03:00:00,1.18041,1.18065,1.1795200000000001,1.1796,3143,0,0,EURUSD,H1
2017-12-07 04:00:00,1.17959,1.1801300000000001,1.17927,1.17982,2645,0,0,EURUSD,H1
2017-12-07 05:00:00,1.17981,1.18026,1.17959,1.17996,2547,0,0,EURUSD,H1
2017-12-07 06:00:00,1.17996,1.18051,1.17991,1.18041,1668,0,0,EURUSD,H1
2017-12-07 07:00:00,1.18041,1.18068,1.1798,1.1798,1760,0,0,EURUSD,H1
