time,open,high,low,close,volume,spread,real_volume,symbol,timeframe
2024-12-16 00:00:00,2649.55,2655.6,2643.38,2653.32,13130,9,0,XAUUSD,H4
2024-12-16 04:00:00,2653.46,2655.69,2649.61,2652.93,17985,8,0,XAUUSD,H4
2024-12-16 08:00:00,2652.88,2662.1,2651.56,2658.23,18799,9,0,XAUUSD,H4
2024-12-16 12:00:00,2658.17,2664.43,2657.33,2661.96,21601,9,0,XAUUSD,H4
2024-12-16 16:00:00,2662.18,2662.96,2648.25,2652.21,29368,9,0,XAUUSD,H4
2024-12-16 20:00:00,2652.16,2655.82,2651.2,2652.58,13935,8,0,XAUUSD,H4
2024-12-17 00:00:00,2652.32,2658.68,2651.0,2658.07,10102,10,0,XAUUSD,H4
2024-12-17 04:00:00,2657.74,2658.59,2649.08,2653.73,18035,9,0,XAUUSD,H4
2024-12-17 08:00:00,2653.76,2657.12,2638.11,2639.75,24246,9,0,XAUUSD,H4
2024-12-17 12:00:00,2639.69,2646.68,2634.62,2637.1,24591,9,0,XAUUSD,H4
2024-12-17 16:00:00,2637.1,2647.03,2632.91,2645.88,30427,8,0,XAUUSD,H4
2024-12-17 20:00:00,2645.99,2649.1,2643.08,2646.45,15448,8,0,XAUUSD,H4
2024-12-18 00:00:00,2646.36,2651.75,2644.83,2650.98,10916,9,0,XAUUSD,H4
2024-12-18 04:00:00,2651.02,2651.09,2642.59,2647.37,19045,9,0,XAUUSD,H4
2024-12-18 08:00:00,2647.35,2649.65,2641.84,2646.76,20773,9,0,XAUUSD,H4
2024-12-18 12:00:00,2646.86,2649.46,2641.12,2643.96,19947,8,0,XAUUSD,H4
2024-12-18 16:00:00,2643.97,2644.72,2633.07,2636.05,28898,8,0,XAUUSD,H4
2024-12-18 20:00:00,2636.07,2638.9,2583.6,2585.26,35103,8,0,XAUUSD,H4
2024-12-19 00:00:00,2583.64,2618.07,2582.57,2611.96,15992,9,0,XAUUSD,H4
2024-12-19 04:00:00,2611.93,2613.98,2606.17,2607.31,17863,8,0,XAUUSD,H4
2024-12-19 08:00:00,2607.29,2622.87,2603.13,2620.48,24520,8,0,XAUUSD,H4
2024-12-19 12:00:00,2620.43,2626.45,2595.2,2596.44,29328,8,0,XAUUSD,H4
2024-12-19 16:00:00,2596.41,2600.86,2586.83,2592.66,35219,9,0,XAUUSD,H4
2024-12-19 20:00:00,2592.71,2601.1,2591.87,2594.57,19186,9,0,XAUUSD,H4
2024-12-20 00:00:00,2594.77,2603.9,2589.71,2603.84,13109,9,0,XAUUSD,H4
2024-12-20 04:00:00,2603.78,2604.03,2595.31,2600.4,17606,8,0,XAUUSD,H4
2024-12-20 08:00:00,2600.36,2607.75,2598.87,2605.0,21261,8,0,XAUUSD,H4
2024-12-20 12:00:00,2604.92,2614.07,2600.01,2609.61,23462,8,0,XAUUSD,H4
2024-12-20 16:00:00,2609.62,2631.98,2608.66,2625.57,34810,8,0,XAUUSD,H4
2024-12-20 20:00:00,2625.55,2629.38,2619.32,2622.14,18334,8,0,XAUUSD,H4
2024-12-23 00:00:00,2624.24,2636.6,2617.23,2620.7,12562,9,0,XAUUSD,H4
2024-12-23 04:00:00,2620.67,2629.26,2620.55,2626.73,16057,8,0,XAUUSD,H4
2024-12-23 08:00:00,2626.81,2633.35,2624.54,2626.4,18405,9,0,XAUUSD,H4
2024-12-23 12:00:00,2626.31,2626.98,2613.05,2617.46,22024,9,0,XAUUSD,H4
2024-12-23 16:00:00,2617.25,2619.93,2608.11,2611.2,28199,9,0,XAUUSD,H4
2024-12-23 20:00:00,2611.18,2613.71,2609.06,2612.52,13351,8,0,XAUUSD,H4
2024-12-24 00:00:00,2612.62,2618.05,2612.24,2617.53,9375,11,0,XAUUSD,H4
2024-12-24 04:00:00,2617.43,2621.53,2615.63,2619.18,14204,10,0,XAUUSD,H4
2024-12-24 08:00:00,2619.18,2621.41,2613.32,2613.69,15160,9,0,XAUUSD,H4
2024-12-24 12:00:00,2613.68,2617.94,2611.23,2614.23,16220,9,0,XAUUSD,H4
2024-12-24 16:00:00,2614.23,2619.37,2610.04,2616.98,22580,9,0,XAUUSD,H4
2024-12-24 20:00:00,2616.91,2617.91,2614.8,2615.13,2240,15,0,XAUUSD,H4
2024-12-26 00:00:00,2615.63,2627.81,2614.13,2626.79,9315,9,0,XAUUSD,H4
2024-12-26 04:00:00,2626.79,2629.23,2625.63,2626.44,12675,10,0,XAUUSD,H4
2024-12-26 08:00:00,2626.4,2629.4,2623.52,2627.32,12347,11,0,XAUUSD,H4
2024-12-26 12:00:00,2627.34,2631.02,2621.73,2622.94,16163,9,0,XAUUSD,H4
2024-12-26 16:00:00,2622.99,2639.11,2622.45,2629.24,24553,10,0,XAUUSD,H4
2024-12-26 20:00:00,2629.2,2636.2,2629.2,2633.45,14620,10,0,XAUUSD,H4
2024-12-27 00:00:00,2632.68,2634.48,2630.66,2632.26,8668,9,0,XAUUSD,H4
2024-12-27 04:00:00,2632.28,2635.5,2628.85,2631.52,13369,9,0,XAUUSD,H4
2024-12-27 08:00:00,2631.5,2638.24,2623.51,2624.12,15860,9,0,XAUUSD,H4
2024-12-27 12:00:00,2624.12,2631.64,2617.94,2618.77,18926,9,0,XAUUSD,H4
2024-12-27 16:00:00,2618.55,2619.71,2611.71,2615.82,27403,9,0,XAUUSD,H4
2024-12-27 20:00:00,2615.92,2621.45,2612.77,2620.97,13003,9,0,XAUUSD,H4
2024-12-30 00:00:00,2619.8,2626.8,2619.38,2624.03,9351,9,0,XAUUSD,H4
2024-12-30 04:00:00,2624.06,2628.08,2620.48,2623.62,13513,9,0,XAUUSD,H4
2024-12-30 08:00:00,2623.58,2624.56,2609.37,2612.85,16793,9,0,XAUUSD,H4
2024-12-30 12:00:00,2612.69,2622.56,2606.39,2606.69,22165,5,0,XAUUSD,H4
2024-12-30 16:00:00,2606.64,2613.84,2596.07,2605.18,30421,5,0,XAUUSD,H4
2024-12-30 20:00:00,2605.24,2609.55,2603.39,2605.9,16006,9,0,XAUUSD,H4
2024-12-31 00:00:00,2606.02,2611.59,2603.72,2608.84,8361,9,0,XAUUSD,H4
2024-12-31 04:00:00,2608.83,2609.62,2602.48,2604.27,12257,10,0,XAUUSD,H4
2024-12-31 08:00:00,2604.2,2617.64,2603.41,2615.33,16689,10,0,XAUUSD,H4
2024-12-31 12:00:00,2615.5,2616.13,2605.38,2613.08,17222,9,0,XAUUSD,H4
2024-12-31 16:00:00,2613.08,2627.6,2611.19,2624.37,25834,9,0,XAUUSD,H4
2024-12-31 20:00:00,2624.25,2627.19,2622.59,2623.26,8383,9,0,XAUUSD,H4
2025-01-02 00:00:00,2624.91,2634.45,2621.58,2632.84,12127,10,0,XAUUSD,H4
2025-01-02 04:00:00,2632.84,2636.54,2631.13,2634.07,16029,9,0,XAUUSD,H4
2025-01-02 08:00:00,2634.13,2639.94,2631.04,2636.0,19446,9,0,XAUUSD,H4
2025-01-02 12:00:00,2635.99,2647.3,2632.72,2642.99,25911,9,0,XAUUSD,H4
2025-01-02 16:00:00,2642.98,2660.51,2640.16,2656.61,33606,8,0,XAUUSD,H4
2025-01-02 20:00:00,2656.61,2660.48,2653.81,2657.96,17990,9,0,XAUUSD,H4
2025-01-03 00:00:00,2657.53,2662.58,2656.73,2659.45,9522,9,0,XAUUSD,H4
2025-01-03 04:00:00,2659.39,2665.12,2655.76,2658.67,16226,8,0,XAUUSD,H4
2025-01-03 08:00:00,2658.68,2660.35,2649.82,2653.64,18520,9,0,XAUUSD,H4
2025-01-03 12:00:00,2653.65,2659.36,2643.22,2649.97,19656,8,0,XAUUSD,H4
2025-01-03 16:00:00,2649.97,2652.68,2639.02,2641.69,29653,9,0,XAUUSD,H4
2025-01-03 20:00:00,2641.65,2643.01,2636.65,2639.44,14265,8,0,XAUUSD,H4
2025-01-06 00:00:00,2641.41,2647.45,2638.55,2641.44,12641,11,0,XAUUSD,H4
2025-01-06 04:00:00,2641.36,2645.33,2631.65,2633.79,18026,9,0,XAUUSD,H4
