time,open,high,low,close,volume,spread,real_volume,symbol,timeframe
2024-12-16 01:00:00,2649.55,2653.03,2648.61,2651.57,2524,9,0,XAUUSD,H1
2024-12-16 02:00:00,2651.57,2651.77,2643.38,2647.16,3674,10,0,XAUUSD,H1
2024-12-16 03:00:00,2647.18,2655.6,2646.79,2653.32,6932,10,0,XAUUSD,H1
2024-12-16 04:00:00,2653.46,2654.81,2650.31,2652.02,5427,11,0,XAUUSD,H1
2024-12-16 05:00:00,2652.01,2655.69,2651.7,2653.84,4463,8,0,XAUUSD,H1
2024-12-16 06:00:00,2653.85,2654.57,2651.88,2652.77,2921,10,0,XAUUSD,H1
2024-12-16 07:00:00,2652.76,2653.51,2649.61,2652.93,5174,9,0,XAUUSD,H1
2024-12-16 08:00:00,2652.88,2654.87,2651.99,2653.64,4189,10,0,XAUUSD,H1
2024-12-16 09:00:00,2653.57,2655.89,2651.56,2653.63,4166,10,0,XAUUSD,H1
2024-12-16 10:00:00,2653.73,2662.1,2652.16,2658.0,5894,9,0,XAUUSD,H1
2024-12-16 11:00:00,2657.96,2660.01,2655.76,2658.23,4550,10,0,XAUUSD,H1
2024-12-16 12:00:00,2658.17,2661.09,2657.96,2658.75,4479,9,0,XAUUSD,H1
2024-12-16 13:00:00,2658.8,2664.09,2657.7,2663.46,4866,9,0,XAUUSD,H1
2024-12-16 14:00:00,2663.46,2664.43,2657.33,2660.13,4819,10,0,XAUUSD,H1
2024-12-16 15:00:00,2660.04,2664.14,2658.82,2661.96,7437,9,0,XAUUSD,H1
2024-12-16 16:00:00,2662.18,2662.96,2653.8,2654.79,8481,9,0,XAUUSD,H1
2024-12-16 17:00:00,2654.91,2656.95,2650.65,2654.48,8581,9,0,XAUUSD,H1
2024-12-16 18:00:00,2654.49,2655.81,2648.25,2652.06,6840,9,0,XAUUSD,H1
2024-12-16 19:00:00,2652.0,2655.38,2651.67,2652.21,5466,9,0,XAUUSD,H1
2024-12-16 20:00:00,2652.16,2655.66,2651.2,2655.34,4563,9,0,XAUUSD,H1
2024-12-16 21:00:00,2655.37,2655.82,2652.04,2653.21,3643,8,0,XAUUSD,H1
2024-12-16 22:00:00,2653.17,2653.62,2651.87,2652.73,4011,9,0,XAUUSD,H1
2024-12-16 23:00:00,2652.79,2653.06,2651.39,2652.58,1718,16,0,XAUUSD,H1
2024-12-17 01:00:00,2652.32,2653.01,2651.5,2651.67,1395,12,0,XAUUSD,H1
2024-12-17 02:00:00,2651.67,2655.49,2651.0,2655.08,2830,10,0,XAUUSD,H1
2024-12-17 03:00:00,2655.02,2658.68,2654.28,2658.07,5877,10,0,XAUUSD,H1
2024-12-17 04:00:00,2657.74,2658.59,2653.82,2654.99,5026,9,0,XAUUSD,H1
2024-12-17 05:00:00,2654.99,2656.09,2651.37,2653.62,4272,11,0,XAUUSD,H1
2024-12-17 06:00:00,2653.56,2655.36,2650.77,2651.69,3277,12,0,XAUUSD,H1
2024-12-17 07:00:00,2651.68,2654.66,2649.08,2653.73,5460,11,0,XAUUSD,H1
2024-12-17 08:00:00,2653.76,2654.66,2646.49,2648.79,5860,10,0,XAUUSD,H1
