time,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,rsi_7,rsi_14,rsi_21,macd,macd_signal,macd_hist,bb_upper_20,bb_lower_20,bb_width_20,bb_pct_20,atr_14,stoch_k_14,stoch_d_14,momentum_10,roc_10,momentum_20,roc_20,body_size,upper_shadow,lower_shadow,body_ratio,is_bullish,volume_sma_20,volume_ratio,price_change,price_change_5,price_change_10,volatility_10,volatility_20,dist_sma_20,dist_sma_50,dist_ema_20,future_return,label_direction,label_return,label_volatility
2007-06-07,669.9,672.95,658.05,659.4,4557,0,0,XAUUSD,D1,668.49,665.7403859917182,664.1899999999999,665.0754981802983,661.725,665.3079990879795,673.5122,667.5692542484878,667.7375,662.8712012258885,647.03625,646.618257616539,58.1632653047375,50.85106382827247,43.38731443871637,-1.201738128801594,-2.519056242174625,1.3173181133730312,673.8228249458854,649.6271750541147,0.03656450926256481,0.40390834673007886,6.232142857142866,34.018264840027044,67.27549467244772,3.6499999999999773,0.5566145634768465,-12.75,-1.896898013835915,10.5,3.050000000000068,1.3500000000000227,0.7046979865724474,0,4386.1,1.038963999908779,-0.015747443839092545,-0.01787310098302053,0.005566145634769315,7.280407497754158,6.048912472942681,-0.0035135441459816295,-0.020953146802682912,-0.008880096280335535,-0.012359720958447062,0,-0.012359720958447062,0.00978374677193559
2007-06-08,659.45,661.4,644.0,648.45,4972,0,0,XAUUSD,D1,663.97,659.9769239944789,663.475,662.0526803293349,661.0350000000001,663.7024753653149,672.9332,666.8194795720765,667.6085,662.5856328847818,647.4155,646.6364839089118,31.918008784118996,37.17712177025743,35.56638245950444,-2.4236893340857932,-2.499982860556859,0.07629352647106558,674.5032902443294,647.5667097556708,0.04074909874463317,0.03279147643472719,6.967857142857148,14.907872696767619,43.70597278611242,-7.149999999999977,-1.0906040268454675,-13.799999999999955,-2.083805209512702,11.0,1.9499999999999318,4.4500000000000455,0.6321839080423447,0,4359.75,1.1404323642410428,-0.01660600545950852,-0.0336785634453467,-0.010906040268456318,8.471430746273684,6.734145122164635,-0.019038326261087733,-0.03638280887314873,-0.022980892691287988,0.006862518312899857,2,0.006862518312899857,0.005785811319671771
2007-06-10,649.1,650.15,648.65,650.05,310,0,0,XAUUSD,D1,659.71,656.6679493296526,662.775,659.8703748149103,660.655,662.4022396162372,672.3952,666.1618529221912,667.4680000000001,662.3374025306277,647.77175,646.6704492431516,7.554671967980511,45.69327730958041,41.73441734298585,-3.2258027931080733,-2.645146847067102,-0.5806559460409715,674.93011268276,646.37988731724,0.04321502957749501,0.12854934193197282,6.321428571428571,20.268006700099438,23.064714745631367,-7.0,-1.065367932425072,-7.600000000000023,-1.155629894320515,0.9499999999999318,0.10000000000002274,0.4500000000000455,0.6333333332910657,1,4098.45,0.07563835108394452,0.0024674223147505003,-0.03172711700305364,-0.010653679324252319,9.309112918713389,7.137556341379982,-0.01605225117496789,-0.03323224199101475,-0.018647641685800593,0.007691716021844375,2,0.007691716021844375,0.0058360863256086
2007-06-11,649.95,654.95,649.55,653.2,4793,0,0,XAUUSD,D1,656.21,655.5119662197685,662.635,658.6575793940175,660.2425000000001,661.5258358432623,671.7622,665.6535449644582,667.31,662.1564638666549,648.09375,646.7354198974485,18.067978532642513,47.40590030383792,46.92467173326139,-3.5661959271784553,-2.8293566630893725,-0.7368392640890828,674.8927478872587,645.5922521127414,0.04437838487300837,0.2596457051709386,6.464285714285722,30.82077051915986,21.998883305342304,-1.3999999999999773,-0.2138710662999944,-8.25,-1.2472598079973922,3.25,1.75,0.40000000000009095,0.6018518518406963,1,4083.85,1.173647416041207,0.004845781093762103,-0.026092142537647245,-0.0021387106630003094,9.45510003472676,7.325123943629296,-0.01066653540176367,-0.027632099573326987,-0.0125858060141337,0.004516227801591999,1,0.004516227801591999,0.00555364000669135
2007-06-12,653.05,654.6,645.7,647.55,5163,0,0,XAUUSD,D1,651.73,652.8579774798457,661.3100000000001,656.6380195041961,659.535,660.1948038581896,671.0072,664.9436020246756,667.1035,661.8672269584043,648.3515,646.7435251721008,14.264264263964378,42.5182481740962,40.633423179442936,-4.2429575458697855,-3.112076839645455,-1.1308807062243305,675.2190884841668,643.8509115158331,0.047561049782549415,0.1179248793415473,7.053571428571437,11.892797319892995,20.99385817971743,-13.25,-2.0051452784500596,-14.150000000000091,-2.138431313283656,5.5,1.5500000000000682,1.849999999999909,0.6179775280829457,0,4331.85,1.1918695245679976,-0.008649724433558048,-0.03343533099485052,-0.0200514527845036,10.599916142227137,7.842044242083441,-0.018171893834289608,-0.03495819418926736,-0.01915314053411404,0.01436182534167263,2,0.01436182534167263,0.0018061029270054615
2007-06-13,647.5,652.5,643.0,651.25,5441,0,0,XAUUSD,D1,650.1,652.3219849865638,659.2950000000001,655.6583795943423,658.95,659.3429177764573,670.2252000000001,664.4065980237078,666.9325,661.6569848404162,648.65825,646.788365717652,23.246217331051696,46.272493572154545,43.27108821518518,-4.429674397598092,-3.3755963512359823,-1.0540780463621093,674.9670304101018,642.9329695898983,0.04861379591805663,0.2596308490751903,7.628571428571433,26.742301458584286,23.151956432545717,-20.149999999999977,-3.001191540065084,-11.700000000000045,-1.7648389772981794,3.75,1.25,4.5,0.39473684210110804,1,4360.85,1.2476925370053715,0.005713844490772946,-0.012359720958447062,-0.030011915400655287,10.381699978542649,8.008515205050841,-0.011685256848014077,-0.0283116779255648,-0.012274216584820993,0.014664107485604427,2,0.014664107485604427,0.0019256251030943222
2007-06-14,651.2,654.1,645.9,652.9,4909,0,0,XAUUSD,D1,650.99,652.5146566577093,657.48,655.1568560317346,658.665,658.7293065596518,669.5341999999999,663.9553588855232,666.7810000000001,661.4835792000118,648.9765,646.8491779990684,27.114093959222004,46.456020494192366,43.56181934540061,-4.393857977754465,-3.579248676539679,-0.8146093012147855,674.9094840840859,642.420515915914,0.04932548134206588,0.3225551525616013,7.717857142857156,32.09076175030107,23.57528684292612,-18.149999999999977,-2.7047164890838644,-5.7000000000000455,-0.8654722137866959,1.6999999999999318,1.2000000000000455,5.300000000000068,0.20731707316819398,1,4326.65,1.1345960500618,0.0025335892514395386,0.006862518312899857,-0.02704716489084269,9.659715891843916,8.12224204204297,-0.008752552511518163,-0.024844436624742217,-0.008849320201185085,0.0019911165568999856,1,0.0019911165568999856,0.006121071234680912
2007-06-15,652.8,655.7,649.95,655.05,4010,0,0,XAUUSD,D1,651.99,653.3597711051395,655.85,655.1374276623283,658.3,658.3788964111135,668.8402000000001,663.6061291253066,666.6205,661.3561815920908,649.25625,646.9307782179832,42.46100519827648,50.38626609320954,47.65985497560858,-4.144214253059431,-3.6922417918436294,-0.4519724612158016,674.5238940098341,642.0761059901658,0.04929027498050771,0.3998390892448509,7.650000000000018,39.05996758496236,32.6310102646159,-16.300000000000068,-2.427943695538488,-7.300000000000068,-1.1021363327544296,2.25,0.650000000000091,2.849999999999909,0.39130434781928164,1,4226.05,0.9488766105464689,0.0032930004594884377,0.007691716021844375,-0.024279436955388478,8.34499184474869,8.111947004917056,-0.004936958833357901,-0.02061807887743302,-0.005056201572163325,-0.005801083886726177,0,-0.005801083886726177,0.006197355932519019
2007-06-17,655.5,656.85,655.15,656.15,259,0,0,XAUUSD,D1,652.58,654.2898474034264,654.395,655.3215317237231,658.4,658.166620562436,668.2832000000001,663.3137319047063,666.5844999999999,661.2530888872969,649.5522500000001,647.022511768053,70.2631578921479,45.62558795740595,45.76502732109141,-3.8136476396593935,-3.7165229614067825,-0.09712467825261095,674.5406319578951,642.2593680421048,0.049029866214748336,0.4303001268502858,7.264285714285734,42.62560777944033,37.92544570490125,-14.550000000000068,-2.1693752795583565,2.0,0.30574027363749817,0.6499999999999773,0.7000000000000455,0.35000000000002274,0.3823529411539556,1,3857.75,0.06713758019570819,0.0016792611251050804,0.004516227801591999,-0.02169375279558683,6.5417229296970545,8.070315978947574,-0.003417375455649542,-0.018155775874656558,-0.0030639970175218717,-0.0034290939571743895,1,-0.0034290939571743895,0.006551889190528719
2007-06-18,656.2,659.2,654.6,656.85,3558,0,0,XAUUSD,D1,654.4399999999999,655.1432316022842,653.085,655.5994350466824,658.455,658.0412281279183,667.5872,663.0602522221687,666.3736,661.1658990083406,649.9275,647.1202977206098,68.78453038408009,33.17919075037122,52.05479451888412,-3.455355875432474,-3.664289544211921,0.20893366877944697,674.5650785714774,642.3449214285226,0.048932967542132416,0.45018646268781515,6.810714285714304,44.89465153956278,42.19340896798849,-13.100000000000023,-1.9553698037164065,1.1000000000000227,0.16774685474645137,0.6499999999999773,2.3500000000000227,1.6000000000000227,0.1413043478230095,1,3789.05,0.9390216545044024,0.0010668292311208916,0.01436182534167263,-0.019553698037167,3.830509829721452,8.055039285738674,-0.0024375242043872007,-0.016083591776472676,-0.0018102636688997037,-0.007079241836035588,0,-0.007079241836035588,0.006514042624782808
2007-06-19,656.9,662.05,653.7,660.8,4171,0,0,XAUUSD,D1,656.35,657.0288210681895,653.225,656.5449923109219,658.7075,658.3039683062118,666.9522000000001,662.9716148801228,666.2291,661.158653483423,650.3385,647.2564141612007,70.10582010322325,39.06083244280291,53.71050697850413,-2.8201659647083943,-3.4954648283112157,0.6752988636028214,674.7973554178914,642.6176445821086,0.048852807711742725,0.565025444467844,7.364285714285724,57.69854132882413,48.40626688260908,1.3999999999999773,0.2123142250530429,5.0499999999999545,0.7701105604268675,3.8999999999999773,1.25,3.199999999999932,0.4670658682578818,1,3996.05,1.0437807334742797,0.006013549516632244,0.014664107485604427,0.002123142250530785,4.102861467592962,8.044927708945675,0.003176675535043483,-0.009224349211231605,0.003791609672671363,-0.014679176755447831,0,-0.014679176755447831,0.005073207849803129
2007-06-20,660.65,661.5,652.45,654.2,4192,0,0,XAUUSD,D1,656.6099999999999,656.0858807121264,653.8,656.1186300725725,658.6375,657.9131141818107,666.2402000000001,662.6276299828631,665.9491,661.0208583649394,650.6555,647.325504567557,66.7506297205683,33.86641580343533,48.96182183385375,-2.8168671347712007,-3.359745289603213,0.5428781548320125,674.7963129775158,642.4786870224843,0.04906739436341146,0.36269102791737057,7.628571428571433,36.963696369515176,46.5189630793007,5.75,0.8867298943633454,-1.3999999999999773,-0.21354484441729157,6.449999999999932,0.8500000000000227,1.75,0.7127071823125628,0,4162.1,1.0071838735253595,-0.009987893462469644,0.0019911165568999856,0.008867298943634916,3.7467763922296347,8.07940648875788,-0.0067373934827569424,-0.018071860569203447,-0.005643775905618992,-0.018878018954448184,0,-0.018878018954448184,0.006645146709566885
2007-06-21,654.1,656.55,647.8,651.25,4570,0,0,XAUUSD,D1,655.85,654.4739204747509,653.9200000000001,655.233424604832,658.3475000000001,657.2785318787811,665.5922,662.1814484149077,665.6296000000001,660.8273760210792,650.92675,647.3645542733525,49.99999999816754,32.46167718583503,47.19173660298123,-3.0175091667603056,-3.2912980650346317,0.2737888982743262,674.8311913022417,641.8638086977585,0.050075959283635445,0.28471144994497155,7.942857142857155,27.54590984965757,40.736049182665624,1.2000000000000455,0.18460118452424595,-5.7999999999999545,-0.882733429723624,2.8500000000000227,2.449999999999932,3.4500000000000455,0.3257142857105659,0,4080.6,1.1199333431357859,-0.004509324365637446,-0.005801083886726177,0.001846011845242801,3.63074831589427,8.241845651120785,-0.010780780666743631,-0.021548028958268878,-0.009171959202057137,-0.012667946257197693,0,-0.012667946257197693,0.007058456557588158
2007-06-22,651.3,656.3,650.6,653.9,4027,0,0,XAUUSD,D1,655.4,654.282613649834,653.99,654.9909837675897,658.3125,656.9567669379447,664.9722,661.8566857319701,665.3026,660.6902002582855,651.2007500000001,647.4295835840654,52.487562187226814,36.0069747157731,47.99745708708463,-2.9289237597232614,-3.2188232039723577,0.2898994442490963,674.8326272774572,641.7923727225428,0.050189316707360605,0.3664507867909158,7.857142857142857,36.393989983183864,33.634532067452206,0.6999999999999318,0.10716472749538036,-0.7000000000000455,-0.10693553315000588,2.6000000000000227,2.3999999999999773,0.6999999999999318,0.45614035086919996,1,3996.5,1.0076316777179781,0.004069097888675488,-0.0034290939571743895,0.0010716472749539019,3.6220620278190947,8.260063638728576,-0.006702743757712868,-0.016650620883096164,-0.004652919479301186,-0.008487536320538225,0,-0.008487536320538225,0.00821317548926961
