time,open,high,low,close,volume,spread,real_volume,symbol,timeframe
2024-12-16 00:00:00,1.2610999999999999,1.26361,1.26081,1.26356,6978,0,0,GBPUSD,H4
2024-12-16 04:00:00,1.26353,1.26394,1.2628599999999999,1.26363,6821,0,0,GBPUSD,H4
2024-12-16 08:00:00,1.26364,1.26716,1.2629299999999999,1.2653699999999999,12605,0,0,GBPUSD,H4
2024-12-16 12:00:00,1.2653699999999999,1.26648,1.26417,1.26639,12898,0,0,GBPUSD,H4
2024-12-16 16:00:00,1.26642,1.26985,1.26346,1.26824,20823,0,0,GBPUSD,H4
2024-12-16 20:00:00,1.26824,1.26987,1.26776,1.2683200000000001,8564,0,0,GBPUSD,H4
2024-12-17 00:00:00,1.26743,1.26985,1.26743,1.26894,6375,0,0,GBPUSD,H4
2024-12-17 04:00:00,1.26894,1.26978,1.26724,1.2674400000000001,7278,0,0,GBPUSD,H4
2024-12-17 08:00:00,1.2674400000000001,1.27069,1.26662,1.2686600000000001,14486,0,0,GBPUSD,H4
2024-12-17 12:00:00,1.2686899999999999,1.27084,1.26708,1.27021,15737,0,0,GBPUSD,H4
2024-12-17 16:00:00,1.27021,1.27287,1.2683900000000001,1.2720099999999999,19239,0,0,GBPUSD,H4
2024-12-17 20:00:00,1.2720099999999999,1.27284,1.27028,1.27126,8910,0,0,GBPUSD,H4
2024-12-18 00:00:00,1.2701500000000001,1.27139,1.2699500000000001,1.27106,5187,0,0,GBPUSD,H4
2024-12-18 04:00:00,1.27106,1.27119,1.2695,1.27023,6788,0,0,GBPUSD,H4
2024-12-18 08:00:00,1.27023,1.2723900000000001,1.26797,1.26878,12986,0,0,GBPUSD,H4
2024-12-18 12:00:00,1.26878,1.27224,1.26862,1.26913,15421,0,0,GBPUSD,H4
2024-12-18 16:00:00,1.26913,1.27097,1.26836,1.2705,17648,0,0,GBPUSD,H4
2024-12-18 20:00:00,1.2705199999999999,1.27186,1.25619,1.25721,27821,0,0,GBPUSD,H4
2024-12-19 00:00:00,1.25647,1.25903,1.25607,1.25898,11902,0,0,GBPUSD,H4
2024-12-19 04:00:00,1.25901,1.25969,1.25814,1.25853,10346,0,0,GBPUSD,H4
2024-12-19 08:00:00,1.2585,1.26671,1.25831,1.26608,19850,0,0,GBPUSD,H4
2024-12-19 12:00:00,1.26607,1.26609,1.25838,1.25918,21535,0,0,GBPUSD,H4
2024-12-19 16:00:00,1.25914,1.26028,1.25076,1.25104,26040,0,0,GBPUSD,H4
2024-12-19 20:00:00,1.25103,1.25311,1.24949,1.25009,13069,0,0,GBPUSD,H4
2024-12-20 00:00:00,1.24979,1.25091,1.24861,1.24897,7767,0,0,GBPUSD,H4
2024-12-20 04:00:00,1.24897,1.24908,1.24749,1.24869,9025,0,0,GBPUSD,H4
2024-12-20 08:00:00,1.24869,1.25174,1.24766,1.2502900000000001,17984,0,0,GBPUSD,H4
2024-12-20 12:00:00,1.2503,1.25597,1.24954,1.25539,16940,0,0,GBPUSD,H4
2024-12-20 16:00:00,1.25538,1.26144,1.25374,1.26034,25476,0,0,GBPUSD,H4
2024-12-20 20:00:00,1.26032,1.26084,1.25651,1.25677,11307,0,0,GBPUSD,H4
2024-12-23 00:00:00,1.25587,1.25831,1.25562,1.2581,7293,0,0,GBPUSD,H4
2024-12-23 04:00:00,1.25811,1.25885,1.25757,1.25778,6598,0,0,GBPUSD,H4
2024-12-23 08:00:00,1.25778,1.25833,1.25552,1.25691,11333,0,0,GBPUSD,H4
2024-12-23 12:00:00,1.25692,1.2572,1.2512400000000001,1.25253,12572,0,0,GBPUSD,H4
2024-12-23 16:00:00,1.25259,1.25384,1.25099,1.25209,16452,0,0,GBPUSD,H4
2024-12-23 20:00:00,1.25209,1.2539500000000001,1.25206,1.25356,9982,0,0,GBPUSD,H4
2024-12-24 00:00:00,1.25263,1.2538,1.25253,1.25317,4929,0,0,GBPUSD,H4
2024-12-24 04:00:00,1.25318,1.2542200000000001,1.25277,1.2538,5960,0,0,GBPUSD,H4
2024-12-24 08:00:00,1.2538,1.25449,1.25281,1.25338,7788,0,0,GBPUSD,H4
2024-12-24 12:00:00,1.25336,1.25684,1.2526,1.25655,10635,0,0,GBPUSD,H4
2024-12-24 16:00:00,1.25657,1.25749,1.25189,1.25193,13093,0,0,GBPUSD,H4
2024-12-24 20:00:00,1.25193,1.25348,1.25192,1.2530000000000001,2270,0,0,GBPUSD,H4
2024-12-26 00:00:00,1.2546599999999999,1.25507,1.25309,1.25415,5102,1,0,GBPUSD,H4
2024-12-26 04:00:00,1.25415,1.2548300000000001,1.25378,1.25446,4518,0,0,GBPUSD,H4
2024-12-26 08:00:00,1.25445,1.25453,1.25217,1.25308,6144,1,0,GBPUSD,H4
2024-12-26 12:00:00,1.25308,1.25349,1.25143,1.25236,7760,0,0,GBPUSD,H4
2024-12-26 16:00:00,1.25234,1.25248,1.25012,1.25161,12557,0,0,GBPUSD,H4
2024-12-26 20:00:00,1.2515800000000001,1.25365,1.2515399999999999,1.25266,9276,0,0,GBPUSD,H4
2024-12-27 00:00:00,1.25183,1.25321,1.25175,1.25229,6050,1,0,GBPUSD,H4
2024-12-27 04:00:00,1.25229,1.25288,1.25184,1.25204,6388,1,0,GBPUSD,H4
2024-12-27 08:00:00,1.25204,1.25346,1.25045,1.25087,9604,0,0,GBPUSD,H4
2024-12-27 12:00:00,1.25087,1.25745,1.25085,1.25745,12661,0,0,GBPUSD,H4
2024-12-27 16:00:00,1.25744,1.2592400000000001,1.25539,1.25602,18868,0,0,GBPUSD,H4
2024-12-27 20:00:00,1.25601,1.25834,1.25597,1.2575,9853,0,0,GBPUSD,H4
2024-12-30 00:00:00,1.25721,1.25881,1.2560799999999999,1.25803,4018,0,0,GBPUSD,H4
2024-12-30 04:00:00,1.25803,1.25852,1.25749,1.25818,5799,0,0,GBPUSD,H4
2024-12-30 08:00:00,1.25818,1.25891,1.25613,1.2577099999999999,10023,0,0,GBPUSD,H4
2024-12-30 12:00:00,1.25775,1.26074,1.25532,1.25543,13858,0,0,GBPUSD,H4
2024-12-30 16:00:00,1.25543,1.2568,1.25065,1.25446,21082,0,0,GBPUSD,H4
2024-12-30 20:00:00,1.25446,1.2559,1.25412,1.25516,10519,0,0,GBPUSD,H4
2024-12-31 00:00:00,1.2539500000000001,1.25598,1.25342,1.25582,5134,0,0,GBPUSD,H4
2024-12-31 04:00:00,1.25582,1.256,1.25446,1.25509,4558,0,0,GBPUSD,H4
