time,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe
2017-06-28 03:00:00,1249.19,1249.94,1248.64,1249.28,3402,0,0,XAUUSD,H1
2017-06-28 04:00:00,1249.3,1251.06,1248.3,1250.78,4284,0,0,XAUUSD,H1
2017-06-28 05:00:00,1250.79,1252.9,1250.79,1252.37,3507,0,0,XAUUSD,H1
2017-06-28 06:00:00,1252.37,1253.4,1251.96,1252.45,2316,0,0,XAUUSD,H1
2017-06-28 07:00:00,1252.49,1252.84,1251.36,1251.41,1673,0,0,XAUUSD,H1
2017-06-28 08:00:00,1251.42,1252.34,1251.06,1251.42,2906,0,0,XAUUSD,H1
2017-06-28 09:00:00,1251.41,1252.01,1250.59,1250.98,5536,0,0,XAUUSD,H1
2017-06-28 10:00:00,1250.98,1252.35,1249.49,1251.94,5021,0,0,XAUUSD,H1
2017-06-28 11:00:00,1251.95,1254.5,1251.65,1253.05,5661,0,0,XAUUSD,H1
2017-06-28 12:00:00,1253.06,1253.67,1251.29,1252.29,4563,0,0,XAUUSD,H1
2017-06-28 13:00:00,1252.29,1253.69,1251.79,1252.95,3895,0,0,XAUUSD,H1
2017-06-28 14:00:00,1253.05,1253.93,1252.05,1252.59,3121,0,0,XAUUSD,H1
2017-06-28 15:00:00,1252.57,1254.94,1250.4,1251.79,12339,0,0,XAUUSD,H1
2017-06-28 16:00:00,1251.8,1253.12,1249.27,1249.91,10580,0,0,XAUUSD,H1
2017-06-28 17:00:00,1250.01,1250.62,1247.9,1249.3,8634,0,0,XAUUSD,H1
2017-06-28 18:00:00,1249.3,1250.49,1249.11,1249.83,5316,0,0,XAUUSD,H1
2017-06-28 19:00:00,1249.83,1249.93,1248.46,1249.43,2765,0,0,XAUUSD,H1
2017-06-28 20:00:00,1249.47,1250.21,1248.43,1249.59,3361,0,0,XAUUSD,H1
2017-06-28 21:00:00,1249.59,1249.96,1248.89,1249.32,2270,0,0,XAUUSD,H1
2017-06-28 22:00:00,1249.3,1250.31,1248.77,1250.16,1969,0,0,XAUUSD,H1
2017-06-28 23:00:00,1250.16,1250.31,1248.67,1249.09,1820,0,0,XAUUSD,H1
2017-06-29 01:00:00,1248.7,1250.91,1248.67,1250.54,1392,0,0,XAUUSD,H1
2017-06-29 02:00:00,1250.51,1250.92,1249.63,1249.72,1929,0,0,XAUUSD,H1
2017-06-29 03:00:00,1249.72,1250.33,1249.03,1249.8,3902,0,0,XAUUSD,H1
2017-06-29 04:00:00,1249.81,1252.53,1249.33,1252.16,4206,0,0,XAUUSD,H1
2017-06-29 05:00:00,1252.17,1253.17,1251.39,1251.78,2924,0,0,XAUUSD,H1
2017-06-29 06:00:00,1251.78,1252.21,1251.58,1251.79,1324,0,0,XAUUSD,H1
2017-06-29 07:00:00,1251.77,1252.18,1251.35,1251.45,1378,0,0,XAUUSD,H1
2017-06-29 08:00:00,1251.46,1252.78,1251.45,1252.61,2129,0,0,XAUUSD,H1
2017-06-29 09:00:00,1252.61,1253.0,1250.6,1251.49,4033,0,0,XAUUSD,H1
2017-06-29 10:00:00,1251.5,1251.72,1245.3,1246.91,6820,0,0,XAUUSD,H1
2017-06-29 11:00:00,1246.91,1247.42,1243.98,1246.97,4451,0,0,XAUUSD,H1
2017-06-29 12:00:00,1246.97,1247.8,1246.12,1247.19,3796,0,0,XAUUSD,H1
2017-06-29 13:00:00,1247.15,1247.5,1245.33,1246.23,3027,0,0,XAUUSD,H1
2017-06-29 14:00:00,1246.27,1246.31,1243.46,1245.17,4671,0,0,XAUUSD,H1
2017-06-29 15:00:00,1245.12,1246.24,1240.99,1241.28,7581,0,0,XAUUSD,H1
2017-06-29 16:00:00,1241.27,1242.84,1239.79,1242.63,9429,0,0,XAUUSD,H1
2017-06-29 17:00:00,1242.64,1247.38,1242.51,1244.26,12050,0,0,XAUUSD,H1
2017-06-29 18:00:00,1244.34,1245.45,1242.56,1243.65,9037,0,0,XAUUSD,H1
2017-06-29 19:00:00,1243.63,1245.97,1243.03,1245.76,9617,0,0,XAUUSD,H1
